vendor	name	url	enable_proxy	description	more_info	subjects	content_id
JSTOR	JSTOR Arts & Sciences I Collection	http://aus.idm.oclc.org/login?url=http://www.jstor.org/	1	JSTOR is an online archive of core scholarly journals and books in a wide variety of disciplines. It provides full text articles in back issues of journals from the earliest issues to within a few years of current publication, as well as book chapters. Please note that the current volume of a journal is NOT available on JSTOR; the latest volume available on JSTOR is usually 3-5 years old.			
JSTOR	JSTOR Arts & Sciences II Collection	http://aus.idm.oclc.org/login?url=http://www.jstor.org/	1	JSTOR is an online archive of core scholarly journals and books in a wide variety of disciplines. It provides full text articles in back issues of journals from the earliest issues to within a few years of current publication, as well as book chapters. Please note that the current volume of a journal is NOT available on JSTOR; the latest volume available on JSTOR is usually 3-5 years old.			
JSTOR	JSTOR Arts & Sciences XI Collection	http://aus.idm.oclc.org/login?url=http://www.jstor.org/	1	JSTOR is an online archive of core scholarly journals and books in a wide variety of disciplines. It provides full text articles in back issues of journals from the earliest issues to within a few years of current publication, as well as book chapters. Please note that the current volume of a journal is NOT available on JSTOR; the latest volume available on JSTOR is usually 3-5 years old.			
JSTOR	JSTOR Arts & Sciences X Collection	http://aus.idm.oclc.org/login?url=http://www.jstor.org/	1	JSTOR is an online archive of core scholarly journals and books in a wide variety of disciplines. It provides full text articles in back issues of journals from the earliest issues to within a few years of current publication, as well as book chapters. Please note that the current volume of a journal is NOT available on JSTOR; the latest volume available on JSTOR is usually 3-5 years old.			
JSTOR	JSTOR Arts & Sciences IV Collection	http://aus.idm.oclc.org/login?url=http://www.jstor.org/	1	JSTOR is an online archive of core scholarly journals and books in a wide variety of disciplines. It provides full text articles in back issues of journals from the earliest issues to within a few years of current publication, as well as book chapters. Please note that the current volume of a journal is NOT available on JSTOR; the latest volume available on JSTOR is usually 3-5 years old.			
JSTOR	JSTOR Arts & Sciences VII Collection	http://aus.idm.oclc.org/login?url=http://www.jstor.org/	1	JSTOR is an online archive of core scholarly journals and books in a wide variety of disciplines. It provides full text articles in back issues of journals from the earliest issues to within a few years of current publication, as well as book chapters. Please note that the current volume of a journal is NOT available on JSTOR; the latest volume available on JSTOR is usually 3-5 years old.			
JSTOR	JSTOR Arts & Sciences III Collection	http://aus.idm.oclc.org/login?url=http://www.jstor.org/	1	JSTOR is an online archive of core scholarly journals and books in a wide variety of disciplines. It provides full text articles in back issues of journals from the earliest issues to within a few years of current publication, as well as book chapters. Please note that the current volume of a journal is NOT available on JSTOR; the latest volume available on JSTOR is usually 3-5 years old.			
JSTOR	JSTOR Arts & Sciences IX Collection	http://aus.idm.oclc.org/login?url=http://www.jstor.org/	1	JSTOR is an online archive of core scholarly journals and books in a wide variety of disciplines. It provides full text articles in back issues of journals from the earliest issues to within a few years of current publication, as well as book chapters. Please note that the current volume of a journal is NOT available on JSTOR; the latest volume available on JSTOR is usually 3-5 years old.			
JSTOR	JSTOR Arts & Sciences VI Collection	http://aus.idm.oclc.org/login?url=http://www.jstor.org/	1	JSTOR is an online archive of core scholarly journals and books in a wide variety of disciplines. It provides full text articles in back issues of journals from the earliest issues to within a few years of current publication, as well as book chapters. Please note that the current volume of a journal is NOT available on JSTOR; the latest volume available on JSTOR is usually 3-5 years old.			
JSTOR	JSTOR Arts & Sciences VIII Collection	http://aus.idm.oclc.org/login?url=http://www.jstor.org/	1	JSTOR is an online archive of core scholarly journals and books in a wide variety of disciplines. It provides full text articles in back issues of journals from the earliest issues to within a few years of current publication, as well as book chapters. Please note that the current volume of a journal is NOT available on JSTOR; the latest volume available on JSTOR is usually 3-5 years old.			
JSTOR	JSTOR Arts & Sciences XII Collection	http://aus.idm.oclc.org/login?url=http://www.jstor.org/	1	JSTOR is an online archive of core scholarly journals and books in a wide variety of disciplines. It provides full text articles in back issues of journals from the earliest issues to within a few years of current publication, as well as book chapters. Please note that the current volume of a journal is NOT available on JSTOR; the latest volume available on JSTOR is usually 3-5 years old.			
JSTOR	JSTOR Life Sciences Collection	http://aus.idm.oclc.org/login?url=http://www.jstor.org/	1	JSTOR is an online archive of core scholarly journals and books in a wide variety of disciplines. It provides full text articles in back issues of journals from the earliest issues to within a few years of current publication, as well as book chapters. Please note that the current volume of a journal is NOT available on JSTOR; the latest volume available on JSTOR is usually 3-5 years old.			
